,random,reward,progress,loss
0,0.5,-962.7169597362001,0,0.1795344352722168
1,0.5,-960.1618764994355,0,0.18406811356544495
2,0.5,-967.6944821004702,0,0.1872023344039917
3,0.5,-958.1381235005643,0,0.18550698459148407
4,0.5,-967.9564040982472,0,0.18966883420944214
5,0.5,-976.7618764994356,0,0.19382934272289276
6,0.5,-973.425,0,0.19448523223400116
7,0.5,-961.8118764994356,0,0.19135050475597382
8,0.5,-959.3555178995299,0,0.19219540059566498
9,0.5,-964.85551789953,0,0.19550999999046326
10,0.5,-968.9564040982472,0,0.19806261360645294
11,0.5,-967.1555178995301,0,0.19928565621376038
12,0.5,-960.2055178995299,0,0.19801688194274902
13,0.5,-977.3118764994357,0,0.2047586441040039
14,0.5,-965.4935959017529,0,0.20160099864006042
15,0.5,-970.9330402637999,0,0.20487366616725922
16,0.5,-962.3064040982472,0,0.2034800797700882
17,0.5,1041.8381235005647,0,0.23453378677368164
18,0.5,-959.8118764994357,0,0.20449188351631165
19,0.5,-963.9564040982472,0,0.206342875957489
20,0.5,-977.5055178995299,0,0.21083036065101624
21,0.5,-956.8881235005645,0,0.20466265082359314
22,0.5,-955.7444821004701,0,0.2045259177684784
23,0.5,-969.3881235005645,0,0.20917019248008728
24,0.5,-963.2064040982472,0,0.20769916474819183
25,0.5,-978.9055178995299,0,0.21335618197917938
26,0.5,1043.3381235005645,0,0.23616282641887665
27,0.5,-961.1555178995299,0,0.2074260711669922
28,0.5,-958.725,0,0.2066342532634735
29,0.5,-963.6169597362002,0,0.20727917551994324
30,0.5,1043.2250000000001,0,0.23473522067070007
31,0.5,-959.4169597362003,0,0.20514743030071259
32,0.5,-971.6211925149827,0,0.20807600021362305
33,0.5,-963.8935959017529,0,0.20498712360858917
34,0.5,-965.5330402637998,0,0.2052663266658783
35,0.5,-958.3055178995301,0,0.2026623785495758
36,0.5,-964.5211925149828,0,0.20388191938400269
37,0.5,-958.4330402637999,0,0.20195071399211884
38,0.5,-958.2330402637998,0,0.20215314626693726
39,0.5,-961.8064040982472,0,0.20329561829566956
40,0.5,-968.4381235005645,0,0.20544670522212982
41,0.5,-972.125,0,0.20676814019680023
42,0.5,-969.0830402638,0,0.2059861719608307
43,0.5,1044.125,0,0.2333679050207138
44,0.5,1042.725,0,0.23328469693660736
45,0.5,1042.6288074850174,0,0.23247173428535461
46,0.5,1043.3288074850173,0,0.23153236508369446
47,0.5,1042.575,0,0.22906385362148285
48,0.5,1044.5169597362,0,0.22946450114250183
49,0.5,1042.7788074850175,0,0.22539852559566498
50,0.5,1042.4881235005646,0,0.22409045696258545
51,0.5,-966.2064040982472,0,0.18142454326152802
52,0.5,-958.40551789953,0,0.1767597198486328
53,0.5,-961.8618764994355,0,0.17643950879573822
54,0.5,1043.3881235005647,0,0.21530064940452576
55,0.5,-963.3564040982471,0,0.17348192632198334
56,0.5,1041.8788074850177,0,0.20907573401927948
